"Info",""
"Dataset","BreastCancer"
"Learner","classif.logreg"
"ElapsedTime(secs)","0.317014"
"RandomSeed","123"
"Recall","10"

"Measure","Statistic","Mean","Std","Fold1","Fold2","Fold3"
"auc","Outer train",0.99309,0.00181,0.99104,0.99444,0.99379
"auc","Outer train",0.99309,0.00181,0.99104,0.99444,0.99379
"auc","Outer test",0.99483,0.00067,0.9956,0.99458,0.99432
"auc","Outer test",0.99483,0.00067,0.9956,0.99458,0.99432
"auc","Outer train - outer test",-0.00174,0.00245,-0.00456,-0.00014,-0.00054
"auc.1","Outer train - outer test",-0.00174,0.00245,-0.00456,-0.00014,-0.00054
"pr10","Outer train",1,0,1,1,1
"pr10","Outer train",1,0,1,1,1
"pr10","Outer test",1,0,1,1,1
"pr10","Outer test",1,0,1,1,1
"pr10","Outer train - outer test",0,0,0,0,0
"pr10.1","Outer train - outer test",0,0,0,0,0

